time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,119.85
5,0.0,0,0,0,0,119.7
6,0.0,0,0,0,0,119.55
7,0.0,0,0,0,0,119.4
8,0.0,0,0,0,0,119.25
9,0.0,0,0,0,0,119.1
10,0.0,0,0,0,0,118.95
11,0.0,0,0,0,0,118.65
12,0.0,0,0,0,0,118.35
13,89.2048,0,1,0,0,118.0508
14,89.2048,0,1,0,0,117.7508
15,89.2048,0,1,0,0,117.3008
16,89.2048,0,1,0,0,116.8508
17,89.2048,0,1,0,0,116.4008
18,181.1319,0,2,0,0,116.0386
19,181.1319,0,2,0,0,115.5886
20,181.1319,0,2,0,0,115.1386
21,181.1319,0,2,0,0,114.6886
22,181.1319,0,2,0,0,114.2386
23,181.1319,0,2,0,0,113.7894
24,271.0889,0,3,0,0,113.6156
25,271.0889,0,3,0,0,113.3156
26,271.0889,0,3,0,0,113.1035
27,271.0889,0,3,0,0,112.9535
28,271.0889,0,3,0,0,112.8035
29,271.0889,0,3,0,0,112.6535
30,271.0889,0,3,0,0,112.5035
31,271.0889,0,3,0,0,112.3535
32,271.0889,1,3,0,0,112.2035
33,271.0889,1,3,0,0,112.0535
34,271.0889,1,3,0,0,111.8796
35,271.0889,2,3,0,0,111.5796
36,271.0889,2,3,0,0,111.2796
37,271.0889,2,3,0,0,110.9796
38,271.0889,2,3,0,0,110.6796
39,271.0889,2,3,0,0,110.2296
40,271.0889,2,3,0,0,109.7796
41,363.0745,2,4,0,0,109.4272
42,363.0745,2,4,0,0,108.9772
43,453.9754,2,5,0,0,108.6274
44,547.692,2,6,0,0,108.1968
45,547.692,2,6,0,0,107.5968
46,547.692,2,6,0,0,106.8468
47,547.692,2,6,0,0,105.9468
48,547.692,2,6,0,0,105.0468
49,547.692,2,6,0,0,104.2444
50,643.1474,2,7,0,0,103.6398
51,643.1474,2,7,0,0,103.0398
52,643.1474,2,7,0,0,102.5399
53,643.1474,2,7,0,0,102.0899
54,643.1474,2,7,0,0,101.6399
55,823.002,2,9,0,0,101.5582
56,823.002,2,9,0,0,101.2582
57,823.002,2,9,0,0,100.9582
58,823.002,2,9,0,0,100.6582
59,823.002,2,9,0,0,100.3582
60,823.002,2,9,0,0,100.0582
61,823.002,2,9,0,0,99.7582
62,823.002,2,9,0,0,99.4582
63,823.002,2,9,0,0,99.1582
64,823.002,2,9,0,0,98.9734
65,823.002,2,9,0,0,98.8234
66,823.002,2,9,0,0,98.8007
67,823.002,2,9,0,0,98.8007
68,823.002,2,9,0,0,98.6507
69,823.002,2,9,0,0,98.5007
70,823.002,2,9,0,0,98.2007
71,823.002,2,9,0,0,97.9007
72,823.002,2,9,0,0,97.6007
73,823.002,2,9,0,0,97.3007
74,823.002,2,9,0,0,97.0007
75,823.002,2,9,0,0,96.5507
76,915.6539,2,10,0,0,96.126
77,1005.172,2,11,0,0,95.579
78,1005.172,2,11,0,0,94.829
79,1005.172,2,11,0,0,94.079
80,1005.172,2,11,0,0,93.329
81,1005.172,2,11,0,0,92.579
82,1100.5891,2,12,0,0,91.7985
83,1191.1377,2,13,0,0,90.8153
84,1191.1377,2,13,0,0,89.9153
85,1282.0317,2,14,0,0,89.1143
86,1376.9792,2,15,0,0,88.2555
87,1316.9792,1,15,1,0,87.378
88,1316.9792,1,15,1,0,86.628
89,1316.9792,1,15,1,0,85.728
90,1316.9792,1,15,1,0,84.678
91,1407.8635,1,16,1,0,83.7667
92,1407.8635,1,16,1,0,82.7581
93,1407.8635,1,16,1,0,81.8581
94,1595.3086,1,18,1,0,81.2813
95,1687.8699,1,19,1,0,80.5415
96,1687.8699,1,19,1,0,79.6415
97,1627.8699,0,19,2,0,78.7415
98,1720.9094,0,20,2,0,77.9314
99,1720.9094,0,20,2,0,77.1482
100,1720.9094,0,20,2,0,76.4955
101,1720.9094,0,20,2,0,75.7455
102,1813.4663,1,21,2,0,75.1227
103,1813.4663,1,21,2,0,74.1596
104,1909.3187,1,22,2,0,73.5683
105,1909.3187,1,22,2,0,73.0582
106,2101.653,1,24,2,0,72.7306
107,2101.653,1,24,2,0,72.2806
108,2101.653,1,24,2,0,71.6893
109,2101.653,1,24,2,0,71.2488
