time,event_type,vehicle_id,node,battery,status,assigned_task,task_load,target_station,total_distance,total_score
0,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
0,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
1,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
2,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
3,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
4,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
5,step,9,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,0,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,1,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,2,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,3,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,4,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,5,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,6,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,7,1347774990,120.0,idle,,0.0,,0.0,0.0
6,step,8,1347774990,120.0,idle,,0.0,,0.0,0.0
