time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,119.85
3,0.0,0,0,0,0,119.55
4,0.0,0,0,0,0,119.25
5,96.2696,0,1,0,0,119.0283
6,96.2696,0,1,0,0,118.7283
7,96.2696,0,1,0,0,118.4283
8,96.2696,0,1,0,0,118.1283
9,96.2696,0,1,0,0,117.9065
10,96.2696,0,1,0,0,117.6065
11,96.2696,0,1,0,0,117.0065
12,96.2696,0,1,0,0,116.4065
13,96.2696,0,1,0,0,115.8065
14,96.2696,0,1,0,0,115.2065
15,96.2696,0,1,0,0,114.6065
16,181.8573,0,2,0,0,114.1378
17,181.8573,0,2,0,0,113.5378
18,181.8573,0,2,0,0,112.7878
19,272.7532,0,3,0,0,112.1371
20,450.8642,0,5,0,0,111.5223
21,450.8642,0,5,0,0,110.7723
22,450.8642,0,5,0,0,110.0223
23,450.8642,0,5,0,0,109.2723
24,450.8642,0,5,0,0,108.5223
25,450.8642,0,5,0,0,107.7723
26,450.8642,0,5,0,0,107.0223
27,450.8642,0,5,0,0,106.2723
28,539.4063,0,6,0,0,105.6953
29,539.4063,0,6,0,0,104.9453
30,539.4063,0,6,0,0,104.3813
31,539.4063,0,6,0,0,104.0118
32,539.4063,0,6,0,0,103.7118
33,539.4063,0,6,0,0,103.1118
34,539.4063,0,6,0,0,102.5118
35,539.4063,0,6,0,0,101.7618
36,539.4063,0,6,0,0,101.0118
37,539.4063,0,6,0,0,100.2618
38,539.4063,0,6,0,0,99.5118
39,539.4063,0,6,0,0,98.8354
40,539.4063,0,6,0,0,98.0854
41,728.4047,0,8,0,0,97.4518
42,813.806,0,9,0,0,96.502
43,813.806,0,9,0,0,95.3595
44,900.9363,0,10,0,0,94.1812
45,900.9363,0,10,0,0,92.9812
46,988.0363,0,11,0,0,91.7978
47,988.0363,0,11,0,0,90.5978
48,988.0363,0,11,0,0,89.3978
49,1079.9454,0,12,0,0,88.1327
50,1079.9454,0,12,0,0,86.8417
51,1079.9454,0,12,0,0,85.6417
52,1258.438,0,14,0,0,84.6405
53,1258.438,0,14,0,0,83.4405
54,1258.438,0,14,0,0,82.0905
55,1258.438,2,14,0,0,80.5905
56,1258.438,2,14,0,0,79.2124
57,1349.1573,0,15,0,0,77.8671
58,1433.5473,0,16,0,0,76.6488
59,1433.5473,0,16,0,0,75.4488
60,1433.5473,0,16,0,0,74.2488
61,1433.5473,1,16,0,0,73.0488
62,1433.5473,1,16,0,0,71.9353
63,1522.9469,1,17,0,0,70.8808
64,1612.9081,1,18,0,0,69.8077
65,1612.9081,1,18,0,0,68.6077
66,1701.8541,1,19,0,0,67.5019
67,1701.8541,1,19,0,0,66.4519
68,1701.8541,1,19,0,0,65.4019
69,1788.0281,1,20,0,0,64.3142
70,1788.0281,1,20,0,0,63.1142
71,1878.7792,1,21,0,0,61.8394
72,1878.7792,1,21,0,0,60.4894
73,1878.7792,1,21,0,0,59.1377
74,1967.64,1,22,0,0,58.0444
75,1967.64,1,22,0,0,57.4444
76,1967.64,1,22,0,0,56.8687
77,1967.64,1,22,0,0,56.2687
78,2149.1298,1,24,0,0,55.8244
79,2241.7864,1,25,0,0,55.8505
80,2241.7864,1,25,0,0,55.9256
81,2241.7864,1,25,0,0,56.0756
82,2241.7864,1,25,0,0,56.188
83,2241.7864,2,25,0,0,56.191
84,2331.2412,2,26,0,0,56.9834
85,2331.2412,2,26,0,0,57.8602
86,2331.2412,2,26,0,0,58.7104
87,2331.2412,1,26,0,0,59.6104
88,2331.2412,1,26,0,0,60.5846
89,2331.2412,1,26,0,0,61.4846
90,2331.2412,1,26,0,0,61.6346
91,2421.2543,1,27,0,0,61.9202
92,2517.0798,1,28,0,0,62.0744
93,2601.3939,1,29,0,0,62.3268
94,2601.3939,1,29,0,0,62.3692
95,2601.3939,1,29,0,0,61.7722
96,2601.3939,1,29,0,0,61.9265
97,2601.3939,1,29,0,0,62.2265
98,2687.6638,1,30,0,0,62.4381
99,2687.6638,1,30,0,0,62.5881
100,2776.2185,1,31,0,0,62.2139
101,2776.2185,1,31,0,0,61.8994
102,2867.308,1,32,0,0,61.434
103,2948.8528,1,33,0,0,61.7248
104,2948.8528,1,33,0,0,61.8748
105,2948.8528,1,33,0,0,62.0248
106,3039.7444,1,34,0,0,62.2734
